"target_gene_source_value","drug_source_value","interaction_source_value"
"SLC6A3","DEXTROAMPHETAMINE SACCHARATE","[Not Available]"
"SLC6A3","CHEMBL543876","blocker"
"SLC6A3","PHENDIMETRAZINE TARTRATE","inhibitor"
"SLC6A3","METHAMPHETAMINE HYDROCHLORIDE","inhibitor"
"SLC6A3","CHEMBL528995","[Not Available]"
"KCNV1","NERISPIRDINE","blocker"
"KCNV1","TEDISAMIL","blocker"
"KCNV1","DALFAMPRIDINE","blocker"
"KCNV1","GUANIDINE HYDROCHLORIDE","blocker"
"IFNB1","DEXTROSE","[Not Available]"
"SLC25A6","CLODRONATE DISODIUM","inhibitor"
"CHRNA5","MAPROTILINE","antagonist"
"CHRNA5","POZANICLINE","partial agonist"
"S1PR2","CHEMBL570352","agonist"
"S1PR2","OZANIMOD","agonist"
"S1PR2","CHEMBL225155","agonist"
"S1PR2","CHEMBL1368758","antagonist"
"S1PR2","FINGOLIMOD HYDROCHLORIDE","agonist"
"S1PR2","AMISELIMOD HYDROCHLORIDE","modulator"
"RBL1","HEXAMETHYLENEBISACETAMIDE","[Not Available]"
"CD9","HERBIMYCIN","[Not Available]"
"PLAT","UROKINASE","[Not Available]"
"PLAT","AMINOCAPROIC ACID","c(""antagonist"", ""inhibitor"")"
"PLAT","ILOPROST","[Not Available]"
"PLAT","CONESTAT ALFA","c(""Inhibitor"", ""inhibitor"")"
"PLAT","ATORVASTATIN","[Not Available]"
"PLAT","EPOETIN BETA","[Not Available]"
"PLAT","MELPHALAN","[Not Available]"
"PLAT","NAPROXEN","[Not Available]"
"PLAT","RALOXIFENE","[Not Available]"
"PLAT","CHEMBL290376","inhibitor"
"PLAT","TRANEXAMIC ACID","[Not Available]"
"PLEKHA1","CITRIC ACID","[Not Available]"
"F2RL1","NALBUPHINE","agonist"
"F2RL1","CHEMBL493076","agonist"
"F2RL1","CHEMBL494303","agonist"
"F2RL1","CHEMBL55242","agonist"
"F2RL1","BUNOLOL (CHEMBL293030)","agonist"
"F2RL1","CHEMBL509819","agonist"
"F2RL1","TYLOSIN","[Not Available]"
"C6","cA2","inhibitor"
"C6","CARBENOXOLONE","inhibitor"
"C6","FLUFENAMIC ACID","inhibitor"
"C6","OCTANOL","inhibitor"
"MMP14","MARIMASTAT","inhibitor"
"MMP14","CGS-27023A","inhibitor"
"MMP14","ILOMASTAT","inhibitor"
"MMP14","PRINOMASTAT","vaccine"
"IL17B","CHEMBL197194","[Not Available]"
"GSTP1","THIOTEPA","[Not Available]"
"GSTP1","GLUTATHIONE","[Not Available]"
"GSTP1","CIBACRON BLUE","[Not Available]"
"GSTP1","GLYCERIN","[Not Available]"
"GSTP1","CHEMBL345292","[Not Available]"
"GSTP1","CARBOCYSTEINE","[Not Available]"
"GSTP1","CANFOSFAMIDE","[Not Available]"
"GSTP1","EZATIOSTAT HYDROCHLORIDE","inhibitor"
"GSTP1","PERFOSFAMIDE","[Not Available]"
"GSTP1","AZACITIDINE","[Not Available]"
"GSTP1","DECITABINE","[Not Available]"
"GSTP1","VITAMIN E","[Not Available]"
"GSTP1","PRIDINOL","[Not Available]"
"GSTP1","BUSULFAN","[Not Available]"
"GSTP1","SODIUM BUTYRATE","[Not Available]"
"GSTP1","CAMPTOTHECIN","[Not Available]"
"GSTP1","CARBOPLATIN","[Not Available]"
"GSTP1","IRINOTECAN","[Not Available]"
"GSTP1","CURCUMIN","[Not Available]"
"GSTP1","CYCLOPHOSPHAMIDE","[Not Available]"
"GSTP1","DEXAMETHASONE","[Not Available]"
"GSTP1","DROLOXIFENE","[Not Available]"
"GSTP1","EXATECAN MESYLATE","[Not Available]"
"GSTP1","ETHACRYNIC ACID","[Not Available]"
"GSTP1","ALCOHOL","[Not Available]"
"GSTP1","GARLIC","[Not Available]"
"GSTP1","HYDROQUINONE","[Not Available]"
"GSTP1","IFOSFAMIDE","[Not Available]"
"GSTP1","LYCOPENE","[Not Available]"
"GSTP1","MELPHALAN","[Not Available]"
"GSTP1","MISONIDAZOLE","[Not Available]"
"GSTP1","MECHLORETHAMINE HYDROCHLORIDE","[Not Available]"
"GSTP1","OMEPRAZOLE","[Not Available]"
"GSTP1","OXALIPLATIN","[Not Available]"
"GSTP1","PREDNISONE","[Not Available]"
"GSTP1","RESVERATROL","[Not Available]"
"GSTP1","MIFEPRISTONE","[Not Available]"
"GSTP1","SELENOMETHIONINE","[Not Available]"
"GSTP1","SULFORAPHANE","[Not Available]"
"GSTP1","VERAPAMIL","[Not Available]"
"GSTP1","MERCAPTOPURINE","[Not Available]"
"GSTP1","EPIRUBICIN","[Not Available]"
"GSTP1","PYRIMETHAMINE","[Not Available]"
"GSTP1","EZATIOSTAT","[Not Available]"
"GSTP1","ETOPOSIDE","[Not Available]"
"GSTP1","DAUNORUBICIN","[Not Available]"
"GSTP1","DOCETAXEL","[Not Available]"
"GSTP1","DITIOCARB","[Not Available]"
"GSTP1","CYTARABINE","[Not Available]"
"GSTP1","PACLITAXEL","[Not Available]"
"UMOD","RETINOL","[Not Available]"
"CFL1","CHEMBL1233973","[Not Available]"
"ME1","CHEMBL1161866","[Not Available]"
"ME1","CHEMBL1161862","[Not Available]"
"TUBB4A","EPOTHILONE D","[Not Available]"
"TUBB4A","PATUPILONE","[Not Available]"
"TUBB4A","LEXIBULIN","[Not Available]"
"XRCC1","VITAMIN E","[Not Available]"
"XRCC1","CARBOPLATIN","[Not Available]"
"XRCC1","OXALIPLATIN","[Not Available]"
"XRCC1","FLUOROURACIL","[Not Available]"
"XRCC1","PHENYLTHIOUREA","[Not Available]"
"XRCC1","DOCETAXEL","[Not Available]"
"XRCC1","GEMCITABINE","[Not Available]"
"XRCC1","VINORELBINE BASE","[Not Available]"
"GARS","GLYCINE","[Not Available]"
"NDUFAF4","NV-128","inhibitor"
"NDUFAF4","METFORMIN HYDROCHLORIDE","inhibitor"
"NDUFAF4","ME-344","inhibitor"
"WNK1","CHEMBL306380","inhibitor"
"ACSS1","ADENOSINE PHOSPHATE","product of"
"ACSS1","ADENOSINE TRIPHOSPHATE","[Not Available]"
"PLCD1","CHEMBL420806","[Not Available]"
"ARNT","HYDROCORTISONE","[Not Available]"
"ABO","CHEMBL50267","[Not Available]"
"ABO","URIDINE_DIPHOSPHATE","[Not Available]"
"ABO","CHEMBL439009","[Not Available]"
"ABO","CHEMBL1232343","[Not Available]"
"ABO","CHEMBL503075","[Not Available]"
"CAT","FOMEPIZOLE","inhibitor"
"CD200","SAMALIZUMAB","inhibitor"
"LSS","CHEMBL304858","inhibitor"
"LSS","LANOSTEROL","[Not Available]"
"LSS","CHEMBL2164238","inhibitor"
"LSS","CHEMBL481608","inhibitor"
"LSS","CHEMBL516921","inhibitor"
"LSS","MEDROXYPROGESTERONE ACETATE","inhibitor"
"LSS","CHEMBL2219824","inhibitor"
"LSS","VISNAGIN","inhibitor"
"CDK18","AZD-5438","inhibitor"
"CDK18","PHA-793887","inhibitor"
"CDK18","Roniciclib","inhibitor"
"CDK18","AT-7519","inhibitor"
"SUCLG1","SUCCINIC ACID","[Not Available]"
"TNFAIP6","HYALURONIC ACID","binder"
"CTSF","CHEMBL2153161","inhibitor"
"CTSF","CHEMBL261723","[Not Available]"
"NR2C2","RETINOL","agonist"
"NR2C2","TRETINOIN","agonist"
"CALCR","DAVALINTIDE","agonist"
"CALCR","CALCITONIN SALMON RECOMBINANT","agonist"
"CALCR","PRAMLINTIDE","agonist"
"CALCR","CALCITONIN HUMAN","agonist"
"CALCR","CALCITONIN SALMON","agonist"
"CALCR","CALCITONIN","[Not Available]"
"CALCR","SMC021","agonist"
"CALCR","PRAMLINTIDE ACETATE","agonist"
"GRM8","L-GLUTAMATE","[Not Available]"
"GRM8","CHEMBL34453","agonist"
"GRM8","CHEMBL1319383","agonist"
"GRM8","EGLUMEGAD","agonist"
"GRM8","CHEMBL277475","agonist"
"GRM8","CHEMBL143210","agonist"
"GRM8","CHEMBL33567","agonist"
"GRM8","DEXFOSFOSERINE","agonist"
"GRM8","TRIAMCINOLONE DIACETATE","allosteric modulator"
"GRM8","CHEMBL284193","antagonist"
"GRM8","CHEMBL432038","antagonist"
"GRM8","CHEMBL86508","antagonist"
"PPP3R2","CYCLOSPORINE","inhibitor"
"PPP3R2","VOCLOSPORIN","[Not Available]"
"CSNK1D","CHEMBL410456","inhibitor"
"CSNK1D","IC261","inhibitor"
"CSNK1D","CHEMBL2069623","inhibitor"
"CSNK1D","CHEMBL1951415","inhibitor"
"APOA4","RITONAVIR","[Not Available]"
"RDH12","RETINOL","[Not Available]"
"AVPR1A","DESMOPRESSIN ACETATE","agonist"
"AVPR1A","LYPRESSIN","agonist"
"AVPR1A","VASOPRESSIN","agonist"
"AVPR1A","FELYPRESSIN","agonist"
"AVPR1A","CONIVAPTAN","antagonist"
"AVPR1A","TERLIPRESSIN","stimulator"
"AVPR1A","TOLVAPTAN","antagonist"
"AVPR1A","ARGIPRESTOCIN","agonist"
"AVPR1A","CHEMBL265859","agonist"
"AVPR1A","CHEMBL435323","agonist"
"AVPR1A","CHEMBL332447","agonist"
"AVPR1A","OXYTOCIN","agonist"
"AVPR1A","AMSACRINE","agonist"
"AVPR1A","CHEMBL3274309","agonist"
"AVPR1A","ATOSIBAN","antagonist"
"AVPR1A","CHEMBL70099","antagonist"
"AVPR1A","APRACLONIDINE","antagonist"
"AVPR1A","APRINDINE","antagonist"
"AVPR1A","CHEMBL1254024","antagonist"
"AVPR1A","MOZAVAPTAN","antagonist"
"AVPR1A","NELIVAPTAN","antagonist"
"AVPR1A","CHEMBL296908","antagonist"
"AVPR1A","MERCAPTOPURINE","antagonist"
"AVPR1A","RELCOVAPTAN","antagonist"
"AVPR1A","SATAVAPTAN","antagonist"
"AVPR1A","ANTHRACENE-9-CARBOXYLIC ACID","antagonist"
"AVPR1A","ANTIPYRINE","antagonist"
"AVPR1A","K-252A","antagonist"
"AVPR1A","CHEMBL3307200","antagonist"
"AVPR1A","CHEMBL307483","antagonist"
"AVPR1A","CONIVAPTAN HYDROCHLORIDE","antagonist"
"AVPR1A","SELEPRESSIN","agonist"
"AVPR1A","RG7314","antagonist"
"AVPR1A","SRX246","antagonist"
"AVPR1A","SRX251","antagonist"
"AVPR1A","VASOPRESSIN TANNATE","agonist"
"SCN3B","ZONISAMIDE","inhibitor"
"KCNJ9","CHEMBL99951","activator"
"KCNJ9","FLUPIRTINE","[Not Available]"
"JAG1","HYDROCORTISONE","[Not Available]"
"COMT","S-ADENOSYL-L-METHIONINE","cofactor"
"COMT","TOLCAPONE","inhibitor"
"COMT","ENTACAPONE","inhibitor"
"COMT","D-PROLINE","inhibitor"
"COMT","3,5-DINITROCATECHOL (OR-486)","[Not Available]"
"COMT","2-METHOXYESTRADIOL","[Not Available]"
"COMT","CHEMBL387347","[Not Available]"
"COMT","NIALAMIDE","[Not Available]"
"COMT","CHEMBL1233867","[Not Available]"
"COMT","BUPROPION","[Not Available]"
"COMT","RISPERIDONE","[Not Available]"
"COMT","METHYLDOPA","[Not Available]"
"COMT","CARBOQUONE","[Not Available]"
"COMT","LEVODOPA","[Not Available]"
"NUDT9","DEXTROSE","[Not Available]"
"UBE2D1","DEFEROXAMINE","[Not Available]"
"ADI1","CHEMBL1161866","binder"
"NAGLU","N-ACETYLGLUCOSAMINE","activator"
"SLC16A4","PYRUVATE","[Not Available]"
"CACNA1S","ISRADIPINE","c(""blocker"", ""inhibitor"")"
"CACNA1S","NIMODIPINE","c(""blocker"", ""inhibitor"")"
"CACNA1S","NISOLDIPINE","c(""blocker"", ""inhibitor"")"
"CACNA1S","CINNARIZINE","inhibitor"
"CACNA1S","MAGNESIUM SULFATE","[Not Available]"
"CACNA1S","VERAPAMIL","inhibitor"
"CACNA1S","FELODIPINE","c(""blocker"", ""inhibitor"")"
"CACNA1S","NITRENDIPINE","inhibitor"
"CACNA1S","NIFEDIPINE","c(""blocker"", ""inhibitor"")"
"CACNA1S","MIBEFRADIL","inhibitor"
"CACNA1S","DRONEDARONE","[Not Available]"
"CACNA1S","CLEVIDIPINE","blocker"
"CACNA1S","NILVADIPINE","inhibitor"
"CACNA1S","AMLODIPINE","[Not Available]"
"CACNA1S","CELECOXIB","[Not Available]"
"CACNA1S","PREGABALIN","modulator"
"CACNA1S","ELPETRIGINE","blocker"
"CACNA1S","BEPRIDIL HYDROCHLORIDE","blocker"
"CACNA1S","GABAPENTIN ENACARBIL","modulator"
"CACNA1S","AZD1305","blocker"
"CACNA1S","ATAGABALIN","modulator"
"CACNA1S","DILTIAZEM HYDROCHLORIDE","blocker"
"CACNA1S","DRONEDARONE HYDROCHLORIDE","blocker"
"CACNA1S","AMLODIPINE MALEATE","blocker"
"CACNA1S","IMAGABALIN","modulator"
"CACNA1S","GABAPENTIN","modulator"
"CACNA1S","VERAPAMIL HYDROCHLORIDE","blocker"
"CACNA1S","DILTIAZEM MALATE","blocker"
"CACNA1S","AMLODIPINE BESYLATE","blocker"
"CACNA1S","NICARDIPINE HYDROCHLORIDE","blocker"
"FYN","DASATINIB","c(""inhibitor"", ""multitarget"")"
"FYN","ACALABRUTINIB","inhibitor"
"FYN","BOSUTINIB","inhibitor"
"FYN","IBRUTINIB","inhibitor"
"FYN","CHEMBL306380","inhibitor"
"FYN","CHEMBL406845","inhibitor"
"FYN","CHEMBL1235255","[Not Available]"
"FYN","ENMD-981693","inhibitor"
"FYN","ILORASERTIB","inhibitor"
"FYN","TG100-801","inhibitor"
"FYN","ENMD-2076","[Not Available]"
"FYN","NINTEDANIB","inhibitor"
"FYN","BEVACIZUMAB","[Not Available]"
"FYN","JNJ-26483327","inhibitor"
"FYN","XL-228","inhibitor"
"SPP1","PHORBOL MYRISTATE ACETATE","[Not Available]"
"SPP1","CALCITONIN","[Not Available]"
"SPP1","CHONDROITIN SULFATE","[Not Available]"
"SPP1","GENTAMICIN","[Not Available]"
"SPP1","TRETINOIN","[Not Available]"
"SPP1","SODIUM BUTYRATE","[Not Available]"
"SPP1","TACROLIMUS","[Not Available]"
"SPP1","WORTMANNIN","[Not Available]"
"SPP1","ZOLEDRONIC ACID","[Not Available]"
"SPP1","ASK-8007","inhibitor"
"CYP2C8","ISONIAZID","[Not Available]"
"CYP2C8","PHENELZINE","inhibitor"
"CYP2C8","TRIMETHOPRIM","[Not Available]"
"CYP2C8","PALMITIC ACID","[Not Available]"
"CYP2C8","RIFAMPICIN","[Not Available]"
"CYP2C8","REPAGLINIDE","[Not Available]"
"CYP2C8","CAFFEINE","[Not Available]"
"CYP2C8","ZOLEDRONIC ACID","[Not Available]"
"CYP2C8","MEDRONIC ACID","[Not Available]"
"CYP2C8","CARBAMAZEPINE","[Not Available]"
"GPRC6A","GLYCINE","agonist"
"GPRC6A","L-ALANINE","agonist"
"GPRC6A","ARGININE","agonist"
"GPRC6A","L-CITRULLINE","agonist"
"GPRC6A","GLUTAMINE","agonist"
"GPRC6A","ORNITHINE","agonist"
"GPRC6A","SERINE","agonist"
"CNTF","ILOPERIDONE","[Not Available]"
"ETS2","CARBOPLATIN","[Not Available]"
"ETS2","PACLITAXEL","[Not Available]"
"ALDH7A1","CHEMBL1161866","[Not Available]"
"PPAT","GLUTAMINE","product of"
"PPAT","MERCAPTOPURINE","[Not Available]"
"PPAT","FLUOROURACIL","[Not Available]"
"PPAT","AZATHIOPRINE","inhibitor"
"PPAT","MERCAPTOPURINE HYDRATE","inhibitor"
"PPAT","AZATHIOPRINE SODIUM","inhibitor"
"UTS2R","PALOSURAN","antagonist"
"PKN1","STAUROSPORINE","inhibitor"
"PKN1","TOFACITINIB","inhibitor"
"PKN1","QUERCETIN","inhibitor"
"PKN1","INGENOL MEBUTATE","[Not Available]"
"GSTM4","GLUTATHIONE","[Not Available]"
"GSTM4","CHEMBL345292","[Not Available]"
"GSTM4","CARBOQUONE","[Not Available]"
"COL6A3","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","[Not Available]"
"COL6A3","OCRIPLASMIN","[Not Available]"
"PTGDR2","INDOMETHACIN","agonist"
"PTGDR2","SULINDAC","antagonist"
"PTGDR2","CHEMBL264421","agonist"
"PTGDR2","CHEMBL370606","agonist"
"PTGDR2","DINOPROSTONE","agonist"
"PTGDR2","DINOPROST","agonist"
"PTGDR2","CHEMBL1397260","agonist"
"PTGDR2","[3H]PGD2","agonist"
"PTGDR2","CHEMBL357834","agonist"
"PTGDR2","AZD1981","antagonist"
"PTGDR2","CHEMBL1643768","antagonist"
"PTGDR2","FEVIPIPRANT","antagonist"
"PTGDR2","OC000459","antagonist"
"PTGDR2","QAV680","antagonist"
"PTGDR2","RAMATROBAN","antagonist"
"PTGDR2","ZOMEPIRAC","[Not Available]"
"PTGDR2","AM-211","antagonist"
"PTGDR2","ARRY-502","antagonist"
"PTGDR2","AM-461","antagonist"
"PTGDR2","MK-7246","antagonist"
"PTGDR2","MK-1029","antagonist"
"PTGDR2","ADC3680","antagonist"
"PTGDR2","VIDUPIPRANT","antagonist"
"PTGDR2","SETIPIPRANT","antagonist"
"PTGDR2","DONITRIPTAN","antagonist"
"PTGDR2","RG7185","antagonist"
"ATP1B2","DESLANOSIDE","inhibitor"
"ATP1B2","DIGITOXIN","inhibitor"
"ATP1B2","DIGOXIN","inhibitor"
"ATP1B2","ACETYLDIGITOXIN","inhibitor"
"NRG1","CHEMBL35482","[Not Available]"
"NRG1","DACTINOMYCIN","[Not Available]"
"NRG1","ASPIRIN","[Not Available]"
"NRG1","BUPIVACAINE","[Not Available]"
"NRG1","COLCHICINE","[Not Available]"
"NRG1","CYTARABINE","[Not Available]"
"NRG1","DEXAMETHASONE","[Not Available]"
"NRG1","GENISTEIN","[Not Available]"
"NRG1","ISOPROTERENOL","[Not Available]"
"NRG1","MYCOPHENOLIC ACID","[Not Available]"
"NRG1","ETHYL NITROSOUREA","[Not Available]"
"NRG1","NICOTINE","[Not Available]"
"NRG1","CHEMBL29197","[Not Available]"
"NRG1","PROGESTERONE","[Not Available]"
"NRG1","BEVACIZUMAB","[Not Available]"
"NRG1","VINCRISTINE","[Not Available]"
"NRG1","WORTMANNIN","[Not Available]"
"NRG1","TAMOXIFEN","[Not Available]"
"NRG1","PHORBOL MYRISTATE ACETATE","[Not Available]"
"NRG1","CHEMBL411250","[Not Available]"
"NRG1","AFATINIB","[Not Available]"
"NRG1","LAPATINIB","[Not Available]"
"NRG1","CETUXIMAB","[Not Available]"
"NRG1","CARBOPLATIN","[Not Available]"
"NRG1","GEMCITABINE","[Not Available]"
"NRG1","PACLITAXEL","[Not Available]"
"NRG1","Patritumab","[Not Available]"
"NRG1","AV-203","[Not Available]"
"PIK3CG","GSK-1059615","inhibitor"
"PIK3CG","WX-037","inhibitor"
"PIK3CG","VOXTALISIB","inhibitor"
"PIK3CG","AZD-6482","inhibitor"
"PIK3CG","TASELISIB","inhibitor"
"PIK3CG","BUPARLISIB","inhibitor"
"PIK3CG","SF-1126","inhibitor"
"PIK3CG","OMIPALISIB","inhibitor"
"PIK3CG","DACTOLISIB","inhibitor"
"PIK3CG","GSK-2636771","inhibitor"
"PIK3CG","STAUROSPORINE","[Not Available]"
"PIK3CG","MYRICETIN","[Not Available]"
"PIK3CG","LY-294002","inhibitor"
"PIK3CG","QUERCETIN","inhibitor"
"PIK3CG","CHEMBL568150","inhibitor"
"PIK3CG","CHEMBL1213083","[Not Available]"
"PIK3CG","CHEMBL1229535","[Not Available]"
"PIK3CG","CHEMBL469099","[Not Available]"
"PIK3CG","CHEMBL1230790","[Not Available]"
"PIK3CG","CHEMBL1231533","inhibitor"
"PIK3CG","WORTMANNIN","[Not Available]"
"PIK3CG","CHEMBL1234815","[Not Available]"
"PIK3CG","ALPELISIB","inhibitor"
"PIK3CG","AMG-319","inhibitor"
"PIK3CG","APITOLISIB","inhibitor"
"PIK3CG","AZD-8186","inhibitor"
"PIK3CG","CANDICIDIN","inhibitor"
"PIK3CG","PA-799","inhibitor"
"PIK3CG","CUDC-907","inhibitor"
"PIK3CG","CHEMBL2064571","inhibitor"
"PIK3CG","DUVELISIB","inhibitor"
"PIK3CG","PHENMETRAZINE","inhibitor"
"PIK3CG","IDELALISIB","inhibitor"
"PIK3CG","INK-128","inhibitor"
"PIK3CG","OXAZEPAM","inhibitor"
"PIK3CG","CHEMBL1086377","inhibitor"
"PIK3CG","LY-3023414","inhibitor"
"PIK3CG","PI-103","inhibitor"
"PIK3CG","PICTILISIB","inhibitor"
"PIK3CG","PILARALISIB (CHEMBL3360203)","inhibitor"
"PIK3CG","CHEMBL1081312","inhibitor"
"PIK3CG","YOHIMBINE","inhibitor"
"PIK3CG","TG100-115","inhibitor"
"PIK3CG","VS-5584","inhibitor"
"PIK3CG","ZSTK-474","inhibitor"
"PIK3CG","PILARALISIB (CHEMBL3218575)","inhibitor"
"PIK3CG","NANDROLONE PHENPROPIONATE","[Not Available]"
"PIK3CG","ALBUMIN HUMAN","[Not Available]"
"PIK3CG","ATORVASTATIN","[Not Available]"
"PIK3CG","RAVIDASVIR","[Not Available]"
"PIK3CG","CAPTOPRIL","[Not Available]"
"PIK3CG","CLOZAPINE","[Not Available]"
"PIK3CG","CYCLOSPORINE","[Not Available]"
"PIK3CG","DAIDZEIN","[Not Available]"
"PIK3CG","DOXORUBICIN","[Not Available]"
"PIK3CG","EMODIN","[Not Available]"
"PIK3CG","ESTRONE","[Not Available]"
"PIK3CG","RIZATRIPTAN","[Not Available]"
"PIK3CG","FLUDARABINE","[Not Available]"
"PIK3CG","HEPARIN","[Not Available]"
"PIK3CG","TRASTUZUMAB","[Not Available]"
"PIK3CG","HYDROGEN PEROXIDE","[Not Available]"
"PIK3CG","INDOLE-3-CARBINOL","[Not Available]"
"PIK3CG","FULVESTRANT","[Not Available]"
"PIK3CG","PYROXAMIDE","[Not Available]"
"PIK3CG","ISOPROTERENOL","[Not Available]"
"PIK3CG","LACTOSE, ANHYDROUS","[Not Available]"
"PIK3CG","LOVASTATIN","[Not Available]"
"PIK3CG","MANNITOL","[Not Available]"
"PIK3CG","MELATONIN","[Not Available]"
"PIK3CG","MYCOPHENOLIC ACID","[Not Available]"
"PIK3CG","NEOMYCIN","[Not Available]"
"PIK3CG","OCTREOTIDE","[Not Available]"
"PIK3CG","PACLITAXEL","[Not Available]"
"PIK3CG","PHENYLEPHRINE","[Not Available]"
"PIK3CG","PICEATANNOL","[Not Available]"
"PIK3CG","PROGESTERONE","[Not Available]"
"PIK3CG","BORTEZOMIB","[Not Available]"
"PIK3CG","RALOXIFENE","[Not Available]"
"PIK3CG","ETRETINATE","[Not Available]"
"PIK3CG","ROSIGLITAZONE","[Not Available]"
"PIK3CG","SIMVASTATIN","[Not Available]"
"PIK3CG","SULFORAPHANE","[Not Available]"
"PIK3CG","PHORBOL MYRISTATE ACETATE","[Not Available]"
"PIK3CG","LIOTHYRONINE SODIUM","[Not Available]"
"PIK3CG","TROGLITAZONE","[Not Available]"
"PIK3CG","BEVACIZUMAB","[Not Available]"
"PIK3CG","ZINC SULFATE","[Not Available]"
"PIK3CG","DS-7423","inhibitor"
"PIK3CG","RECILISIB","inhibitor"
"PIK3CG","Panulisib","inhibitor"
"PIK3CG","PWT-33587","inhibitor"
"PIK3CG","RP-6530","inhibitor"
"PIK3CG","Puquitinib","inhibitor"
"PIK3CG","COPANLISIB","inhibitor"
"PIK3CG","PF-04691502","inhibitor"
"PIK3CG","GEDATOLISIB","inhibitor"
"PIK3CG","SONOLISIB","inhibitor"
"PIK3CG","CAL-263","inhibitor"
"PIK3CG","RG-7666","inhibitor"
"PIK3CG","FILGRASTIM","[Not Available]"
"PIK3CG","GLUCAGON","[Not Available]"
"PIK3CG","IONOMYCIN","[Not Available]"
"PIK3CG","COLCHICINE","[Not Available]"
"PIK3CG","VINCRISTINE","[Not Available]"
"PIK3CG","BUPARLISIB HYDROCHLORIDE","inhibitor"
"PIK3CG","BGT-226 (CHEMBL3545096)","inhibitor"
"PIK3CG","THYROTROPIN","[Not Available]"
"SIRT3","SODIUM LAURYL SULFATE","inhibitor"
"PYGB","PYRIDOXAL PHOSPHATE","cofactor"
"PYGB","SIVELESTAT","inhibitor"
"KCNH3","NERISPIRDINE","blocker"
"KCNH3","TEDISAMIL","blocker"
"KCNH3","DALFAMPRIDINE","blocker"
"KCNH3","GUANIDINE HYDROCHLORIDE","blocker"
"DDIT4","SCRIPTAID","[Not Available]"
"TRPV5","ECONAZOLE","channel blocker"
"TRPV5","MAGNESIUM","channel blocker"
"TRPV5","MICONAZOLE","channel blocker"
"TRPV5","RUTHENIUM RED","channel blocker"
"DLL4","DEMCIZUMAB","inhibitor"
"DLL4","REGN-421","antibody"
"CD38","DARATUMUMAB","c(""antibody"", ""inhibitor"")"
"CD38","ISATUXIMAB","antibody"
"CD38","THROMBIN","[Not Available]"
"CD38","HuMax-CD38","[Not Available]"
"CD38","SAR-650984","[Not Available]"
"YES1","DASATINIB","inhibitor"
"YES1","IBRUTINIB","inhibitor"
"YES1","REBASTINIB","inhibitor"
"YES1","SARACATINIB","inhibitor"
"YES1","SPEBRUTINIB","inhibitor"
"YES1","CHEMBL605003","inhibitor"
"YES1","ENMD-981693","inhibitor"
"YES1","ILORASERTIB","inhibitor"
"YES1","JNJ-26483327","inhibitor"
"YES1","XL-228","inhibitor"
"YES1","ENMD-2076","[Not Available]"
"YES1","TG100-801","inhibitor"
"YES1","AT-9283","inhibitor"
"YES1","NINTEDANIB","inhibitor"
"SLC25A15","ORNITHINE","[Not Available]"
"CD40","FLUDARABINE","[Not Available]"
"CD40","HYDROQUINONE","[Not Available]"
"CD40","STREPTOZOTOCIN","[Not Available]"
"CD40","TETANUS TOXOID","[Not Available]"
"CD40","DACETUZUMAB","c(""antibody"", ""inhibitor"")"
"CD40","PG-102","inhibitor"
"CD40","LUCATUMUMAB","[Not Available]"
"CD40","TENELIXIMAB","partial agonist"
"CACNA1F","NIMODIPINE","c(""gating inhibitor"", ""blocker"", ""inhibitor"")"
"CACNA1F","CINNARIZINE","inhibitor"
"CACNA1F","VERAPAMIL","inhibitor"
"CACNA1F","CHEMBL1082832","activator"
"CACNA1F","NIFEDIPINE","c(""gating inhibitor"", ""blocker"")"
"CACNA1F","NITRENDIPINE","gating inhibitor"
"CACNA1F","ISRADIPINE","c(""gating inhibitor"", ""blocker"")"
"CACNA1F","MIBEFRADIL","inhibitor"
"CACNA1F","DRONEDARONE","[Not Available]"
"CACNA1F","CLEVIDIPINE","blocker"
"CACNA1F","BEPRIDIL HYDROCHLORIDE","blocker"
"CACNA1F","PREGABALIN","modulator"
"CACNA1F","GABAPENTIN","modulator"
"CACNA1F","AZD1305","blocker"
"CACNA1F","ATAGABALIN","modulator"
"CACNA1F","IMAGABALIN","modulator"
"CACNA1F","DILTIAZEM HYDROCHLORIDE","blocker"
"CACNA1F","DRONEDARONE HYDROCHLORIDE","blocker"
"CACNA1F","AMLODIPINE MALEATE","blocker"
"CACNA1F","CELECOXIB","[Not Available]"
"CACNA1F","GABAPENTIN ENACARBIL","modulator"
"CACNA1F","ELPETRIGINE","blocker"
"CACNA1F","VERAPAMIL HYDROCHLORIDE","blocker"
"CACNA1F","DILTIAZEM MALATE","blocker"
"CACNA1F","NISOLDIPINE","blocker"
"CACNA1F","FELODIPINE","blocker"
"CACNA1F","AMLODIPINE BESYLATE","blocker"
"CACNA1F","NICARDIPINE HYDROCHLORIDE","blocker"
"TGFBR3","DEXAMETHASONE","[Not Available]"
"TGFBR3","REGRAMOSTIM","[Not Available]"
"TGFBR3","TRETINOIN","[Not Available]"
"MAPK10","SP-600125","inhibitor"
"MAPK10","CHEMBL437747","[Not Available]"
"MAPK10","CHEMBL252967","[Not Available]"
"MAPK10","CHEMBL248643","[Not Available]"
"MAPK10","CHEMBL1230989","[Not Available]"
"MAPK10","CHEMBL250409","[Not Available]"
